time	V(vdrain)	V(vdrain_totem)	V(vgate)	V(vgate_totem)	Id(Mosfet)	Id(Mosfet_totem)
6.874420007909042e-07	8.874331e-04	5.121250e-04	8.737624e+00	1.147544e+01	5.454094e-02	5.454313e-02
7.265045007909043e-07	8.348771e-04	5.120522e-04	9.003789e+00	1.147659e+01	5.454133e-02	5.454313e-02
7.850982507909044e-07	7.725229e-04	5.119509e-04	9.362884e+00	1.147822e+01	5.454174e-02	5.454313e-02
8.436920007909046e-07	7.243750e-04	5.118575e-04	9.678944e+00	1.147975e+01	5.454204e-02	5.454313e-02
9.022857507909047e-07	6.863521e-04	5.117711e-04	9.957127e+00	1.148120e+01	5.454225e-02	5.454313e-02
9.608795007909049e-07	6.557892e-04	5.116906e-04	1.020197e+01	1.148256e+01	5.454242e-02	5.454313e-02
1.019473250790905e-06	6.308719e-04	5.116152e-04	1.041747e+01	1.148385e+01	5.454255e-02	5.454313e-02
1.078067000790905e-06	6.103214e-04	5.115445e-04	1.060714e+01	1.148508e+01	5.454266e-02	5.454313e-02
1.136660750790905e-06	5.932106e-04	5.114779e-04	1.077408e+01	1.148626e+01	5.454274e-02	5.454313e-02
1.195254500790906e-06	5.788506e-04	5.114148e-04	1.092101e+01	1.148738e+01	5.454281e-02	5.454313e-02
1.253848250790906e-06	5.667191e-04	5.113551e-04	1.105033e+01	1.148845e+01	5.454287e-02	5.454313e-02
1.312442000790906e-06	5.564126e-04	5.112982e-04	1.116416e+01	1.148948e+01	5.454292e-02	5.454313e-02
1.371035750790906e-06	5.476149e-04	5.112441e-04	1.126434e+01	1.149047e+01	5.454296e-02	5.454313e-02
1.429629500790906e-06	5.400747e-04	5.111923e-04	1.135251e+01	1.149142e+01	5.454300e-02	5.454313e-02
1.488223250790906e-06	5.335896e-04	5.111429e-04	1.143011e+01	1.149234e+01	5.454303e-02	5.454313e-02
1.546817000790906e-06	5.279954e-04	5.110954e-04	1.149842e+01	1.149323e+01	5.454306e-02	5.454313e-02
1.605410750790907e-06	5.231573e-04	5.110498e-04	1.155853e+01	1.149408e+01	5.454308e-02	5.454313e-02
1.664004500790907e-06	5.189636e-04	5.110060e-04	1.161145e+01	1.149491e+01	5.454309e-02	5.454313e-02
1.722598250790907e-06	5.153216e-04	5.109638e-04	1.165802e+01	1.149572e+01	5.454311e-02	5.454313e-02
1.781192000790907e-06	5.121534e-04	5.109231e-04	1.169901e+01	1.149649e+01	5.454313e-02	5.454313e-02
1.839785750790907e-06	5.093933e-04	5.108838e-04	1.173508e+01	1.149725e+01	5.454314e-02	5.454313e-02
1.898379500790907e-06	5.069856e-04	5.108458e-04	1.176683e+01	1.149798e+01	5.454315e-02	5.454313e-02
1.956973250790908e-06	5.048831e-04	5.108090e-04	1.179478e+01	1.149870e+01	5.454316e-02	5.454313e-02
2.015567000790908e-06	5.030454e-04	5.107734e-04	1.181938e+01	1.149939e+01	5.454317e-02	5.454313e-02
2.074160750790908e-06	5.014376e-04	5.107388e-04	1.184103e+01	1.150006e+01	5.454317e-02	5.454313e-02
2.132754500790908e-06	5.000300e-04	5.107053e-04	1.186008e+01	1.150072e+01	5.454318e-02	5.454313e-02
2.191348250790908e-06	4.987969e-04	5.106727e-04	1.187685e+01	1.150136e+01	5.454319e-02	5.454313e-02
2.249942000790908e-06	4.977160e-04	5.106410e-04	1.189161e+01	1.150199e+01	5.454319e-02	5.454313e-02
2.308535750790908e-06	4.967680e-04	5.106102e-04	1.190460e+01	1.150260e+01	5.454320e-02	5.454313e-02
2.367129500790909e-06	4.959364e-04	5.105802e-04	1.191603e+01	1.150320e+01	5.454320e-02	5.454313e-02
2.425723250790909e-06	4.952064e-04	5.105510e-04	1.192610e+01	1.150378e+01	5.454320e-02	5.454313e-02
2.484317000790909e-06	4.945655e-04	5.105225e-04	1.193496e+01	1.150435e+01	5.454320e-02	5.454313e-02
2.542910750790909e-06	4.940026e-04	5.104947e-04	1.194275e+01	1.150491e+01	5.454321e-02	5.454313e-02
2.601504500790909e-06	4.935081e-04	5.104676e-04	1.194961e+01	1.150546e+01	5.454321e-02	5.454313e-02
2.660098250790909e-06	4.930736e-04	5.104410e-04	1.195565e+01	1.150599e+01	5.454321e-02	5.454313e-02
2.718692000790910e-06	4.926917e-04	5.104151e-04	1.196097e+01	1.150651e+01	5.454322e-02	5.454314e-02
2.777285750790910e-06	4.923560e-04	5.103898e-04	1.196565e+01	1.150703e+01	5.454322e-02	5.454314e-02
2.835879500790910e-06	4.920609e-04	5.103650e-04	1.196976e+01	1.150753e+01	5.454322e-02	5.454314e-02
2.894473250790910e-06	4.918015e-04	5.103408e-04	1.197339e+01	1.150802e+01	5.454322e-02	5.454314e-02
2.953067000790910e-06	4.915732e-04	5.103170e-04	1.197658e+01	1.150851e+01	5.454322e-02	5.454314e-02
3.011660750790910e-06	4.913726e-04	5.102938e-04	1.197938e+01	1.150898e+01	5.454322e-02	5.454314e-02
3.070254500790910e-06	4.911961e-04	5.102711e-04	1.198186e+01	1.150945e+01	5.454322e-02	5.454314e-02
3.128848250790911e-06	4.910408e-04	5.102487e-04	1.198403e+01	1.150991e+01	5.454322e-02	5.454314e-02
3.187442000790911e-06	4.909043e-04	5.102268e-04	1.198594e+01	1.151036e+01	5.454322e-02	5.454314e-02
3.246035750790911e-06	4.907841e-04	5.102053e-04	1.198763e+01	1.151080e+01	5.454322e-02	5.454314e-02
3.304629500790911e-06	4.906784e-04	5.101842e-04	1.198911e+01	1.151124e+01	5.454322e-02	5.454314e-02
3.363223250790911e-06	4.905854e-04	5.101635e-04	1.199042e+01	1.151166e+01	5.454322e-02	5.454314e-02
3.421817000790911e-06	4.905036e-04	5.101432e-04	1.199157e+01	1.151208e+01	5.454323e-02	5.454314e-02
3.480410750790911e-06	4.904316e-04	5.101232e-04	1.199258e+01	1.151250e+01	5.454323e-02	5.454314e-02
3.539004500790912e-06	4.903682e-04	5.101036e-04	1.199347e+01	1.151291e+01	5.454323e-02	5.454314e-02
3.597598250790912e-06	4.903125e-04	5.100843e-04	1.199425e+01	1.151331e+01	5.454323e-02	5.454314e-02
3.656192000790912e-06	4.902634e-04	5.100653e-04	1.199494e+01	1.151370e+01	5.454323e-02	5.454314e-02
3.714785750790912e-06	4.902202e-04	5.100467e-04	1.199555e+01	1.151409e+01	5.454323e-02	5.454314e-02
3.773379500790912e-06	4.901822e-04	5.100283e-04	1.199608e+01	1.151448e+01	5.454323e-02	5.454314e-02
3.831973250790912e-06	4.901488e-04	5.100102e-04	1.199655e+01	1.151485e+01	5.454323e-02	5.454314e-02
3.890567000790912e-06	4.901193e-04	5.099925e-04	1.199696e+01	1.151523e+01	5.454323e-02	5.454314e-02
3.949160750790912e-06	4.900934e-04	5.099750e-04	1.199733e+01	1.151559e+01	5.454323e-02	5.454314e-02
4.007754500790912e-06	4.900707e-04	5.099577e-04	1.199765e+01	1.151595e+01	5.454323e-02	5.454314e-02
4.066348250790913e-06	4.900506e-04	5.099407e-04	1.199793e+01	1.151631e+01	5.454323e-02	5.454314e-02
4.124942000790913e-06	4.900330e-04	5.099240e-04	1.199818e+01	1.151666e+01	5.454323e-02	5.454314e-02
4.183535750790913e-06	4.900174e-04	5.099075e-04	1.199840e+01	1.151701e+01	5.454323e-02	5.454314e-02
4.242129500790913e-06	4.900037e-04	5.098913e-04	1.199859e+01	1.151735e+01	5.454323e-02	5.454314e-02
4.300723250790913e-06	4.899917e-04	5.098752e-04	1.199876e+01	1.151769e+01	5.454323e-02	5.454314e-02
4.359317000790913e-06	4.899811e-04	5.098595e-04	1.199891e+01	1.151803e+01	5.454323e-02	5.454314e-02
4.417910750790914e-06	4.899718e-04	5.098439e-04	1.199904e+01	1.151835e+01	5.454323e-02	5.454314e-02
4.476504500790914e-06	4.899636e-04	5.098286e-04	1.199915e+01	1.151868e+01	5.454323e-02	5.454314e-02
4.535098250790914e-06	4.899564e-04	5.098134e-04	1.199925e+01	1.151900e+01	5.454323e-02	5.454314e-02
4.593692000790914e-06	4.899500e-04	5.097984e-04	1.199934e+01	1.151932e+01	5.454323e-02	5.454314e-02
4.652285750790914e-06	4.899444e-04	5.097837e-04	1.199942e+01	1.151963e+01	5.454323e-02	5.454314e-02
4.710879500790914e-06	4.899395e-04	5.097691e-04	1.199949e+01	1.151994e+01	5.454323e-02	5.454314e-02
4.769473250790914e-06	4.899352e-04	5.097547e-04	1.199955e+01	1.152025e+01	5.454323e-02	5.454314e-02
4.828067000790915e-06	4.899313e-04	5.097405e-04	1.199961e+01	1.152055e+01	5.454323e-02	5.454314e-02
4.886660750790915e-06	4.899280e-04	5.097265e-04	1.199965e+01	1.152085e+01	5.454323e-02	5.454314e-02
4.945254500790915e-06	4.899250e-04	5.097126e-04	1.199969e+01	1.152115e+01	5.454323e-02	5.454314e-02
5.003848250790915e-06	4.899225e-04	5.096989e-04	1.199973e+01	1.152144e+01	5.454323e-02	5.454314e-02
5.009449073462353e-06	4.899220e-04	5.096983e-04	1.199973e+01	1.152147e+01	5.454323e-02	5.454314e-02
5.015049896133791e-06	4.899216e-04	5.096973e-04	1.199974e+01	1.152149e+01	5.454323e-02	5.454314e-02
5.020650718805230e-06	4.899213e-04	5.096961e-04	1.199974e+01	1.152152e+01	5.454323e-02	5.454314e-02
5.026251541476669e-06	4.899212e-04	5.096946e-04	1.199974e+01	1.152155e+01	5.454323e-02	5.454314e-02
5.031852364148107e-06	4.899211e-04	5.096929e-04	1.199975e+01	1.152158e+01	5.454323e-02	5.454314e-02
5.037453186819545e-06	4.899212e-04	5.096909e-04	1.199975e+01	1.152160e+01	5.454323e-02	5.454314e-02
5.043054009490983e-06	4.899213e-04	5.096886e-04	1.199975e+01	1.152163e+01	5.454323e-02	5.454314e-02
5.050000000000000e-06	4.899357e-04	5.101354e-04	1.199976e+01	1.152167e+01	5.454323e-02	5.454314e-02
5.050015281525831e-06	4.898862e-04	5.097783e-04	1.199969e+01	1.152166e+01	5.454323e-02	5.454314e-02
5.050045844577493e-06	4.897039e-04	5.095844e-04	1.199954e+01	1.152164e+01	5.454323e-02	5.454314e-02
5.050106970680818e-06	4.892565e-04	5.095366e-04	1.199925e+01	1.152156e+01	5.454323e-02	5.454314e-02
5.050184544796874e-06	4.886808e-04	5.093336e-04	1.199888e+01	1.152142e+01	5.454323e-02	5.454314e-02
5.050255076237654e-06	4.881576e-04	5.090802e-04	1.199854e+01	1.152126e+01	5.454323e-02	5.454314e-02
5.050349754370355e-06	4.874552e-04	5.086903e-04	1.199808e+01	1.152101e+01	5.454324e-02	5.454314e-02
5.050477606032202e-06	4.865079e-04	5.080951e-04	1.199745e+01	1.152064e+01	5.454324e-02	5.454315e-02
5.050733309355895e-06	4.846147e-04	5.067883e-04	1.199615e+01	1.151981e+01	5.454325e-02	5.454315e-02
5.051187373290339e-06	4.812602e-04	5.042782e-04	1.199375e+01	1.151815e+01	5.454327e-02	5.454316e-02
5.052095501159228e-06	4.745758e-04	4.990550e-04	1.198858e+01	1.151443e+01	5.454330e-02	5.454319e-02
5.053728548688841e-06	4.626319e-04	4.897465e-04	1.197805e+01	1.150687e+01	5.454335e-02	5.454323e-02
5.056617763684547e-06	4.417024e-04	4.742076e-04	1.195584e+01	1.149142e+01	5.454345e-02	5.454330e-02
5.060961190397006e-06	4.105878e-04	4.530894e-04	1.191538e+01	1.146469e+01	5.454359e-02	5.454339e-02
5.065040126172131e-06	3.816757e-04	4.355296e-04	1.186984e+01	1.143622e+01	5.454372e-02	5.454348e-02
5.068504447602077e-06	3.573277e-04	4.217241e-04	1.182457e+01	1.140886e+01	5.454383e-02	5.454354e-02
5.071949864081903e-06	3.332340e-04	4.043799e-04	1.177435e+01	1.137641e+01	5.454394e-02	5.454362e-02
5.073189743898071e-06	3.245850e-04	3.751223e-04	1.175491e+01	1.134908e+01	5.454398e-02	5.454375e-02
5.074023969294286e-06	3.187726e-04	3.044896e-04	1.174121e+01	1.129751e+01	5.454401e-02	5.454407e-02
5.074552905294092e-06	3.150885e-04	2.079017e-04	1.173232e+01	1.123097e+01	5.454402e-02	5.454451e-02
5.075177129509471e-06	3.107417e-04	4.617305e-05	1.172165e+01	1.111992e+01	5.454404e-02	5.454524e-02
5.075580184058882e-06	3.079352e-04	-7.071687e-05	1.171466e+01	1.103794e+01	5.454405e-02	5.454578e-02
5.075983911731446e-06	3.051241e-04	-1.895349e-04	1.170756e+01	1.095168e+01	5.454407e-02	5.454632e-02
